Daspur Public Care Society,"Konnagar, Ghatal",Paschim Medinipur,dpcs.help@gmail.com,NOT AVAILABLE,"86705 87169, 83709 47200",,"Child Labour, Child Welfare, General – Social Welfare, Health, Herbal Medicine, Human Development, Women Development/Welfare, Youth Skill Development Training."
Debagram Gram Unnayan Kendra,"Debagram, Kaligang",Nadia,dguk2009@rocketmail.com,91-3474-266921,91-99337 06411,NOT AVAILABLE,"Education, health, nrm, water, women empowerment, child development, rural development, disability."
Daspara Nabadisha Education & Welfare Society,"Lalbazar, Asharubasti, Chopra",Uttar Dinajpur,dasparanabadisha09@yahoo.in,NOT AVAILABLE,97331 29971,03526-315398,"Education, Grants/Aids, Health."
Deb Adhikari Educational & Charitable Trust,"Girls Mission Road, Sivbari",Alipurduar,debadhikaricharity@gmail.com,,"91-99323 83206, 91-97332 66110",NOT AVAILABLE,"Serving Nation, Aids awareness, educational for backward people and self employment training."
Deep Annita Braille Institute,"Paschim Daspara, Sonarpur",Kolkata,dbi_kg@yahoo.com,91-33-24343153,,NOT AVAILABLE,Educational
Derpur Daspara Saraswati Society,"C/o Utpal Choudhury, Sunripukur Para",Birbhum,utpal.choudhuary@yahoo.com,,91-92321 30949,NOT AVAILABLE,Welfare activities
Development & Research in Voluntary Initiatives,"B-4, Hare Krishna Konar Market, Bagnan, Near CTC Bus Stand",Howrah,mpes82@gmail.com,,91-98304 68513,NOT AVAILABLE,Supporting News
Deria Social Aid Foundation,"Deira, Kulpi, Hatuganj, Purba Barberia",South 24 Parganas,dsafoundation.india@gmail.com,NOT AVAILABLE,"97327 72758, 97353 09034",,"Child Welfare, Climate Change, Corporate Social Responsibility, Environment, Human Rights, Old Aged Welfare, Rural Development, Self Help Groups, Social Awareness, Sustainable Development, Water, Women’S Issues."
Deprive People,"309, B.B. Ganguly Street",Kolkata,secretary@deprivepeople.org,91-33-2481725,,NOT AVAILABLE,
Deganga West Dishari Welfare Society,"Berachampa Office Para, North 24 Parganas",North 24 Parganas,dwdwa@rediffmail.com,,,NOT AVAILABLE,Women & child development.
Destination Educational & Welfare Society,"06-May, Sepco Township",Burdwan,info@destinationonline.co.in,91-343-2605457,,NOT AVAILABLE,Educational and society development.
Desh Bandhu Sangha,"Dhanyaghata, Mograhat",South 24 Parganas,,91-3174-55562,,NOT AVAILABLE,"Agriculture, Education"
Dhakuria Institute of Physical Medicine,"2 C/1 Bechu Docter Lane, Dhakuria",Kolkata,biplobm@yahoo.com,91-33-24158896,,NOT AVAILABLE,"Rehabilicatation center, oldage home."
Development Research Communication & Services Centre,"58-A, Dharmatala Road, Bosepukur, Kasba",Kolkata,tapas.drcsc@gmail.com,91-33-24427311,,NOT AVAILABLE,
Dhanarangi Mahuya Welfare Society,"Dhanarangi, Gopalpur, Hirbandh",Bankura,biplab132mb@gmail.com,NOT AVAILABLE,94756 85272,,Social Work.
Development Action Society,"Ec-71, Rajdanga Main Road",Kolkata,daskolkata@rediffmail.com,91-33-24415124,,NOT AVAILABLE,
Development Intregrated Group for Human & Nature,"329, N.S. Road",Howrah,info.dighn@gmail.com,,91-98318 01813,NOT AVAILABLE,Education and health.
Dharma Foundation Of India,"A 1/3, Kendriya Vihar, Behind Haldiram, VIP Road",Kolkata,dharma.dfi@gmail.com,NOT AVAILABLE,80170 81325,,Social Work.
Dhannyasisha Academy of Development Science,"Dhannyasisha, Sukdevapur",24 Parganas South,academia@cal2.vsnl.net.in,91-33-24703747,,NOT AVAILABLE,"Rural Development, Science and Technology, Sustainable Development, Training"
Dhee Society for Human Resources,North 24 Parganas,North 24 Parganas,hindolswami@gmail.com,91-33-25656349,,NOT AVAILABLE,Development.
Dhirendra Smriti Samiti,"B/11/128, Kalyani, Nadia",Kalyani,sabyasachi.sipra@gmail.com,91-33-24155515,91-98317 70611,NOT AVAILABLE,
Dhakuria Sagari Academy,"6, Babu Bagan Lane, Dhakuria",Kolkata,dhakuriasagariacademy@rediffmail.com,NOT AVAILABLE,90511 40118,,Social Work.
DIBAKAR,"Dewanhat, Cooch Behar",Cooch Behar,dibakar_social_welfare@yahoo.com,,91-99323 23190,NOT AVAILABLE,
DIKSHA,"Ollege Pally, Barasat Road, Sewli Telini Para, Barrackpore",Barrackpore,diksh_life@yahoo.in,,91-92394 00812,"Ollege Pally, Barasat Road, Sewli Telini Para, Barrackpore",Technical Education for students
Dinhata Sree Jee Mission,"Ward-11, Sahebganj Road, Dinhata",Coochbehar,sreejeemission123@gmail.com,NOT AVAILABLE,98320 71705,,"Agriculture, Child Labour, Child Welfare, Development (General), Education, General – Social Welfare, Health, Self Help Groups, Training,"
Dhagagia Social Welfare Society,"Dhagaria, Joplai",Birbhum,dswsociety@in.com,91-3217-207001,91-97320 09757,NOT AVAILABLE,Social welfare.
Discovering Talent,"117 A/80, Sarat Ghosh Garden Road",Kolkata,discoveringtalent@india.com,NOT AVAILABLE,94322 62593,,"Art And Culture, Cultural Issues, Economics And Finance, Employment, Old Aged Welfare, Shelter Home, Social Awareness, Women Development/Welfare, Women’S Issues, Youth"
Dishari Sharojgar Gosthi,"Bichalihata, Bongaon",North 24 Parganas,dishari.sharojgar@gmail.com,,,NOT AVAILABLE,Rural devalopment.
Disha Jana Kalyan Kendra,Asansol,Asansol,disha_kendra95@rediffmail.com,,,NOT AVAILABLE,Networking
Digambarpur Avijatri Sangha,"Digambarpur, Dholahat, Patharpratima",South 24-Parganas,avijatrisangha2011@gmail.com,NOT AVAILABLE,98009 36428,,"Health, Hiv/Aids, Irrigation, Rural Development, Sanitation, Social Awareness, Society And Economy, Water, Women Development/Welfare."
Divya Chaya Trust,"8B, Middleton Street",Kolkata,divyachaya@hotmail.com,91-33-22293886,,NOT AVAILABLE,"Child welfare, Education, Health, Rural Development, Training, Women’s issues"
Dhakuria Society for Education & Expression,"28/ 20 Station Road, Dhakuria",Kolkata,educationandexpression@yahoo.co.in,,91-94331 69975,NOT AVAILABLE,Talent spotting from the economically backward.
Doya & Community Welfare Society,"Kanachi, Moureswar",Birbhum,dcws.ngo@rediffmail.com,NOT AVAILABLE,91630 31590,,"Adolescent Girls Welfare, Agriculture, Anti Drug Campaign, Art And Craft, Child Labour, Child Rights, Child Welfare, Cultural Issues, Development (General), E-Learning, Governance, Hiv/Aids, Medical Relief, Mentally Handicapped Persons, Micro-Enterprises, Pollution, Population, Sanitation, Science And Technology, Self Help Groups, Social Awareness, Society And Economy, Training, Urban Development, Women Development/Welfare, Youth."
Dinajpur Tathya Mitra Association,"Raiganj, Uttar Dinajpur",Uttar Dinajpur,dtma@rediffmail.com,91-3523-221291,91-94344 23762,NOT AVAILABLE,"Rural development, education."
Dr. K.R. Adhikary College of Optometry & Paramedical Technology,"B-13/66, Kalyani",Nadia,info@kradhikarycollege.org,91-33-25809369,91-98302 78185,NOT AVAILABLE,"Education, health, NRM, rural development, disability, old age care, women empowerment."
Dr. Parasmani Sarani,"58, Eurasia Reiyukai, 21st Branch",Darjeeling,krishna1093@gmail.com,91-354-2544649,,NOT AVAILABLE,Education development
Domkal Educational & Socio Cultural Organization,Murshidabad,Murshidabad,desco_ngo@yahoo.co.in,,91-94346 56765,NOT AVAILABLE,
DMRI – Duars Alternative Medical Research Institute,"Udayan Bitan, Suryanagar, Alipurduar Court",Jalpaiguri,damri2007@rediffmail.com,91-3564-259050,91-96411 59053,NOT AVAILABLE,"Health, education, nutrition, women empowerment, child development, rural development, social justice."
Dhupguri Tista Torsha Foundation,"Satsang Para, Ward-11, Dhupguri",Jalpaiguri,dttfoundation@gmail.com,NOT AVAILABLE,"77978 20808, 87591 58383",,"Social Awareness, Trafficking Of Women, Training, Tribal Development, Tribal Issues, Urban Development, Volunteers, Wildlife, Women Development/Welfare, Women’S Issues. Arrange Awareness Campaign At Different Villages."
Dr Bidhan Chandra Roy Medical Research Foundation,"Sakdaha, Krishnanagar",Nadia,drbcrmrftrust@rediffmail.com,NOT AVAILABLE,90021 24831,,"Medical Relief, Mentally Handicapped Persons, Minorities, Old Aged Welfare, Orphanage, Physically Disabled, Plantation, Rural Development, Tribal Development, Yoga Serve Society At Large By Providing Affordable Medical Service & Etc."
Dreams,"Nawpara, Ranaghat",Nadia,dreams02439.14@gmail.com,NOT AVAILABLE,97346 68433,,"Agriculture, Awareness Generation, Blindness, Child Welfare, Gender, Medical Relief, Plantation, Sanitation, Social Awareness."
Dreams of the Century,"Jagacha, Hospital Road",Howrah,drmsof@gmail.com,,91-98303 29373,NOT AVAILABLE,"Fights against isolation, poverty and neglect."
Dubrajhat Nabajagaran Sangha,"Dubrajhat, Darjeeling",Darjeeling,,,,NOT AVAILABLE,Rural development
Dum Dum Nager Bazar Society for Education is the Key to Success,"972-B, Jessore Road, Amarpally",Kolkata,eitkts2@gmail.com,NOT AVAILABLE,89810 14147,,"Child Labour, Child Rights, Child Welfare, Education, Environment, Forest Management, General – Social Welfare, Legal Awareness, Poverty, Public Administration, Science And Technology, Sex Workers Welfare, Social Awareness, Society And Economy, Urban Development."
DRISHTI,"Pd Mishra Road, Hazinagar",Hazinagar,shuklaji_2002@yahoo.co.in,,91-93309 37935,NOT AVAILABLE,"Social service, health activities."
Dreams For Life Society,"3, Vidya Sagar Park, 1st Lane",Kolkata,dreamsforlife777@gmail.com,NOT AVAILABLE,"80132 61214, 72786 92400",,"Awareness Generation, Child Labour, Child Rights, Child Welfare, Community Development, Education, Environment, Youth."
Dr Tarak Nath Podder Memorial Foundation,"34, Dixon Lane",Kolkata,info@dtnpmf.org,NOT AVAILABLE,94333 85029,033-22271266,"Agriculture, Animal Health, Awareness Generation, Ayurveda, Child Welfare, Community Development, Disaster Management, Distance Learning, E-Learning, Food And Nutrition, General – Social Welfare, Old Aged Welfare."
Durgapur Hostel Avenue Rajiv Gandhi Development Centre,"Andal Shivajee Dangal, Andal",Burdwan,pradip8331@rediffmail.com,91-341-2374471,91-90028 66838,NOT AVAILABLE,"Disability, women empowerment, education, child development, rural development."
Drik India,"17/1 C, G.P Mukherjee Road",Kolkata,drikindia@gmail.com,91-33-24545596,,NOT AVAILABLE,Working on development sector.
Durgapur Krishti Foundatin,"Amrai, Madrasa Road, Durgapur",Burdwan,krishtifoundation@gmail.com,NOT AVAILABLE,97488 39296,,"Advocacy On Social Issues, Art And Craft, Art And Culture, Awareness Generation, Child Labour, Child Rights, Child Welfare, Climate Change, Community Development, Cultural Heritage., Cultural Issues, Development (General), Disaster Management, Education, Employment, Environment, Fair Trade, Food And Nutrition, Forest Management, General – Social Welfare, Health, Human Development, Human Rights, Information And Communications Technology, Infrastructure, Legal Awareness, Library, Livelihood, Media, Medical Relief, Mentally Handicapped Persons, Minorities, Old Aged Welfare, Physically Disabled, Pollution, Population, Research, Rural Development, Self Help Groups, Social Awareness, Sustainable Development, Training, Tribal Development, Water, Women Development/Welfare, Youth."
Duttapukur Nirmala Medical Aid & Social Welfare Society,"Dr. N.C. Kar’s Chamber, Duttapukur Station Road",North 24 Parganas,uttam_1972@rediffmail.com,,91-98305 25457,NOT AVAILABLE,Supporting of developmental work.
Durganagar Triroma Social Welfare Society,"Durganagar, Rabindranagar, Janapath Road",Kolkata,triroma.ngo@gmail.com,NOT AVAILABLE,91431 14625,,"Child Labour, Child Welfare, Education, Food And Nutrition, Health, Library, Micro-Enterprises, Old Aged Welfare, Orphanage, Rural Development, Urban Development."
Eastern Zone Cricket & Talent Development Institute,"1 British n Street, Ground Floor, Room 15",Kolkata,easternzonecricket@rediffmail.com,,91-98309 07003,NOT AVAILABLE,To indentify & help the upcoming talent.
Earth Care,"150, Muktaram Babu Street",Kolkata,earthcarekol@yahoo.co.in,91-33-22572365,91-98304 93239,NOT AVAILABLE,Social work
Eco Friendly Agro Development Society,"NH 81, Sunny Park, Chanchal",Malda,sefad08@in.com,91-351-3252331,,NOT AVAILABLE,Eco Friendly Agro Development & control global warming.
Durgapur Abosar,"S-31, Shramik Mangal Samabay Abasan, Bidhannagar",Durgapur,dgpabosar@rediffmail.com,,91-94342 37926,NOT AVAILABLE,To register our NGO for availing benifit for the organisation for fulfilment of object.
Eleven Nabs Welfare Society,"Kundarali, Baruipur",South 24 Parganas,enws2012@gmail.com,NOT AVAILABLE,"99036 86505, 91632 84465",,Social Work.
EMPATHY,"17 J Monohar Pukur Road, 2nd Floor",Kolkata,rajsree@vsnl.com,91-33-24746318,,NOT AVAILABLE,"Aged, Art and culture, Child welfare, Disadvantaged communities, Education, Health, Human Rights, Sustainable Development, Training, Women’s issues"
Encircle Social Welfare Society,"74-C/1, Daspara Road",Kolkata,mazumder.sajal83@gmail.com,NOT AVAILABLE,94334 48551,,"Cultural Heritage. Education, General – Social Welfare, Human Rights, Plantation, Pollution, Volunteers, Women Development/Welfare, Women’S Issues."
Egra Nibedita Social Welfare Society,Kasba Egra,Purba Medinipur,egranibeditasociety@gmail.com,NOT AVAILABLE,89273 43070,,"Adolescent Girls Welfare, Advocacy On Social Issues, Anti Drug Campaign, Art And Craft, Art And Culture, Awareness Generation, Ayurveda, Cancer Patients Help, Climate Change, Community Development, Consumer Issues, Disability, Disaster Management, Distance Learning, Education, Employment, Health, Herbal Medicine, Human Rights, Legal Awareness, Livelihood, Medical Relief, Minorities, Pollution, Training, Tribal Development, Water, Women Development/Welfare, Women’S Issues, Yoga, Youth."
Endeavour for Education & Environment,"61/O, GT Road West",Hooghly,eee.kolkata@gmail.com,,91-92315 08823,NOT AVAILABLE,Education and environment.
Environs Safe Organization,"10, K.C. Kathuria Lane",Kolkata,eso.organization@gmail.com,NOT AVAILABLE,99032 09843,,Environment Activities Would Be People Awareness In Remote Area To Conserve Or Safe Common Creature.
East Berh Nandanik Samaj Kalyan Kendra,"Ganachinta Vhaban, Anandapally",Burdan,nandanik.drt@gmail.com,,91-94346 71251,NOT AVAILABLE,Development program of poor men.
Economic Rural Development Society,"6, Kiron Sankar Roy Road, Ground Floor",Kolkata,erds@cal2.vsnl.net.in,91-33-22486888,,NOT AVAILABLE,"Child welfare, Development(General), Disadvantaged communities, Education, Health, Human Rights, Population, Poverty, Sanitation, Women’s issues"
Essential Help Line,"Gandhi Nagar, Panihati",Kolkata,essentialhelpline@yahoo.com,91-33-22259173,,NOT AVAILABLE,
ENDEV – A Society for Environment & Development,"329, Ground Floor, Jodhpur Park",Kolkata,,"91-33-24731519, 91-33-24132626",,NOT AVAILABLE,Environment
Eurasia Reiyukai,"8, Dr. Parasmani Sarani",Siliguri,krishna_kaash1983@yahoo.co.in,91-353-2544649,,NOT AVAILABLE,Rural development.
FAMILIA,"Bhaluka, Majhipara",Kanchrapara,familiahome@hotmail.com,91-33-25872110,,NOT AVAILABLE,Raise fund and get the current news.
Federation of Societies for Environmental Protection,"S M Das Road, Red Cross Building",Darjeeling,fosep@hotmail.com,91-354-2258180,,NOT AVAILABLE,"Disaster management, Environment, Forestry, Health, Training, Water"
Falkon Welfare Society,"F/27, Ground Floor, Katju Nagar, 130/198, Prince Golum Hossain Shah Road",Kolkata,islam@falkonpariwar.com,91-33-24994314,91-96741 74888,NOT AVAILABLE,
First Opportunity Human Representation Welfare Society,"Acharer Goli, B/S Horijan Bosti, East Congress Nagar, Panda Para",Jalpaiguri,fohrws.ngo@sify.com,91-3561-227451,91-97758 69967,NOT AVAILABLE,
First Opportunity Humance Representation Welfare Society,"Sayantan Chowdhury, East Congress Nagar, Panda Para",Jalpaiguri,bexport@sify.com,91-3561-222375,91-97758 69967,NOT AVAILABLE,Propagate our services.
Floral Discovery,Gopalpur,East Midnapur,reachme@floraldiscovery.com,NOT AVAILABLE,99321 47217,0322-4240842,"Animal Health, Animal Welfare, Shelter Home Adoption Service."
Forum of Communities United in Service,"6, Tiljala Road",Kolkata,focus50889@vsnl.net,"91-33-22405088, 91-33-22805819",,NOT AVAILABLE,"Education, Health, Micro-enterprises, Poverty, Rural Development, Sanitation"
FOSET – Forum of Scientists,"15-N, Nelli Sengupta Sarani, Lindsay Street",Engineers & Technologists,foset@rediffmail.com,91-33-22529675,,NOT AVAILABLE,Utilisation of cost-effective technologies for community development.
Foundation for Occupational Health Reform & Developmental Research,"76/H, South Sinthee Road",Kolkata,info@fohrdr.org,91-33-25570580,91-94333 02241,NOT AVAILABLE,Occupational health issues.
First Light Welfare Society,"Nawdapara, Nawpara, Ranaghat",Nadia,firstlightwelfaresociety@gmail.com,NOT AVAILABLE,99325 75511,,Social Work
Foundation Life for all,"1, Chandni Chowk Street",Kolkata,p.puranmalka@life-for-all.org,91-33-22150254,,NOT AVAILABLE,Social economic and education.
Falakata Sanyog Social Welfare Organization,"Mahakal Para, Falakata",Alipurduar,sanyogfkt@gmail.com,NOT AVAILABLE,96410 42516,03563-260251,Social Work.
Four Corners Initiatives Trust,"21st Mile, Pedong",Pedong,mail2fci@gmail.com,91-355-2281207,,NOT AVAILABLE,Community development and education.
Faridpur Educational Development Society,"Faridpur, Durgapur",Burdhaman,biswajitghatak84@yahoo.com,91-343-252801,91-96096 89346,NOT AVAILABLE,Socio economic development.
Flamingo,"P-119, Senhati",Kolkata,flamingo.ffyd@rediffmail.com,91-33-24035710,,NOT AVAILABLE,Voluntary service.
Friends of Trees Forum,"Bardaan, Krishnanagar",Darjeeling,ftf.mirik@yahoo.co.in,,91-98323 74385,NOT AVAILABLE,
Foundation Of Education And Public Awareness,"26/1b/H/1, Khagendra Chattergee Road, Cossipore",Kolkata,info@fepa1256.org,NOT AVAILABLE,90302 19998,,"Anti Drug Campaign, Child Rights, Education, Employment, Health, Women Development/Welfare, Women’S Issues."
Friends Computer Training Society,"29-Jan, South Buxarah",Howrah,fcts_friends@yahoo.in,,91-98369 20321,NOT AVAILABLE,Childrens computer education & health.
Foundation for Science & Environment,"42, Station Road, Rahara",Kolkata,fse_environment@rediffmail.com,91-33-25236509,,NOT AVAILABLE,Environmental awareness & education.
Gana Sahayata Welfare Society,"08-Mar, Narayan Roy Road",Kolkata,dola_maj@rediffmail.com,"91-33-24473657, 91-93310 10337",,NOT AVAILABLE,
Eakta Pariwar,"Dr. B.L.D. Road, Darjeeling",Darjeeling,jojo_at32@yahoo.com,,91-97332 56401,NOT AVAILABLE,
Gabberia Mahila Samiti,"Gabbreia, South 24 Parganas",South 24 Parganas,gms@gmail.com,91-3174-213909,,NOT AVAILABLE,
Gandhi Mission Trust,"Dihibaliharpur, West Medinipur",West Medinipur,gmt1987@sancharnet.in,91-3225-254217,,NOT AVAILABLE,Community health care.
Gamila Nabin Sangha,"Pirtala, Lalgola",Murshidabad,gamilanabinsangha@gmail.com,NOT AVAILABLE,96090 60883,,Social Work.
Gana Unnayan Parshad,"10, Gomesh Lane",Kolkata,GUPLAMP@cal.vsnl.net.in,"91-33-22462403, 91-33-22416983",,NOT AVAILABLE,"Child welfare, Disadvantaged communities, Disaster management, Education, Employment, Environment, Food and Nutrition, Forestry, Grants/Aids, Health, Human Rights, Labour, Law, Micro-enterprises, Population, Poverty, Rural Development, Sanitation, Training, Tribal issues, Urban Development, Women’s issues"
Gangabag Sanjibany Society,"Kutub Pur, Malda",Malda,yesdebabrata@rediffmail.com,,91-98516 71722,NOT AVAILABLE,Development
Fulbari Walfare Society,"Srinagar Colony, Satelite Town, Behind Uttar Kannya, Siliguri Bhaktinagar",Jalpaiguri,isds8@yahoo.com,NOT AVAILABLE,98329 61616,,Social Work.
Ganadarpan,"32D, Dhirendra Nath Ghosh Road, Bhowanipore",Kolkata,ganadarpan@hotmail.com,"91-33-24553408, 91-33-22802228",,NOT AVAILABLE,"Education, Health, Science and Technology"
Garden Reach Bangla Basti Academic Development Society,"G-38, Bangla Basti, Garden Reach",Kolkata,grbb_ngo@yahoo.Com,91-33-32441442,"91-93397 25783, 91-98042 68531",NOT AVAILABLE,Social development.
GARIASATHI,"29/3 Brizi Road, Garia",Kolkata,sathi.garia@rediffmail.com,,91-98300 91648,NOT AVAILABLE,
Gazole potherdishari Welfare Society,"Kadubarimore, Near Super Market",Gazole,theultimate.warrior2021@gmail.com,,91-95632 57700,NOT AVAILABLE,"Health, education."
Gangasagar Pariseva Charitable Trust,"Gangasagar, Cooastal",South 24 Pargana,gangasagarpariseva@gmail.com,NOT AVAILABLE,92315 58313,,"Awareness Generation, Community Development, Corporate Social Responsibility, Cow Protection Centre (Goushala), Cultural Heritage. , E-Governance, Education, Group Promotion, Human Development, Information and Communications Technology, Livelihood, Local Self Governance (Panchayati Raj), Plantation, Rural Development, Self Help Groups, Training, Yoga, Youth An Invention In Between The Ganga, The Gangasagar & Great Soul (Mahatma) Of Kapil Muni, Ingraft In Society For Social & Economical Development."
Garg Foundation,"Garg House, Kolkata",Kolkata,dinesh@garghouse.com,91-33-22850182,,NOT AVAILABLE,Organise developmental action.
GGBK – Gorabbose Gram Bikas Kendra,"Rajarlat, Canning Town",South 24 Parganas,nraptan@gmail.com,91-3218-255257,91-94345 00881,NOT AVAILABLE,
Gigabyte Institute of Information & Management,"274/1, Nabapally Circular Road, Barasat",Kolkata,bhaskarbanerjee@yctc.co.in,91-33-25843237,91-98362 34500,NOT AVAILABLE,Education & training.
Garden-Reach-Slum-Development,"P-229/A, Tikia Para, 1st Lane, Garden Reach",Kolkata,,"91-33-24690095, 91-33-24696145",,NOT AVAILABLE,"Child welfare, Education, Employment, Environment, Food and Nutrition, Health, Human Rights, Minorities, Population, Poverty, Rural Development, Sanitation, Training, Water, Women’s issues"
Genexxt Foundation,Burdwan,Burdwan,info@genexxt.org,,91-93326 45926,NOT AVAILABLE,
Glitter India Development Society,"Jagatberh, Near Berh More, Kali Tala",Burdwan,gids.kanchannagar@rediffmail.com,,91-94346 28787,NOT AVAILABLE,Arrange funds for school.
Global Philantrophic Foundation,Birbhum,Birbhum,abdul.moktader.nalhati@gmail.com,,91-94747 38157,NOT AVAILABLE,Education health and social welfare
Global Embrodiary Triloring Knitting & Fashion Training Trust,"Sahebgonj, Nutangram, Onda",Bankura,partha_mail3483@rediffmail.com,91-3242-205291,91-94343 92886,NOT AVAILABLE,Education & rural development.
Gograss Life Group,"Gograss, Raghunathbari, Panskura",Panskura,lifegroup581@gmail.com,NOT AVAILABLE,80017 26679,,"Child Welfare, E-Learning, Education, General – Social Welfare, Hiv/Aids, Library, Pollution, Rural Development, Yoga Society Devlopment, Flood Relife Fund."
Gitaldaha Bikash Samiti,"Gitaldaha, Cooch Behar",Cooch Behar,ataur.saleem@gmail.com,,"91-98001 18621, 91-94342 47739",NOT AVAILABLE,Enlistment
Good Tidinng Educational & Charitable Trust,"D-28, C.M.D.A. Housing Project, Lake Garden-West, Tollygunje",Kolkata,mr.russelraj@rediffmail.com,91-33-24229239,91-93315 93164,NOT AVAILABLE,Helps the poor.
Garia Linet Youth & Women Welfare Organisation,"Tentultala Garia, Kolkata",Kolkata,garialinet@yahoo.com,91-33-65171456,91-99037 06773,NOT AVAILABLE,Micro finance
Goodwill Services India,"47/1A, Palm Avenue",Kolkata,,91-33-28650280,,NOT AVAILABLE,"Environment, Health, Water"
Gopalpur Gram Unnayan Samiti,"Gopalpur, Billwagram",Nadia,kutub_mallick@rediffmail.com,,91-99328 48795,NOT AVAILABLE,Women development.
Gour Rural Outgrow Welfare Society,Gangaparsad,Malda,farid.meher@gmail.com,NOT AVAILABLE,80170 10592,,"Legal Awareness, Library, Livelihood, Rural Development, Social Awareness, Training, Tribal Development, Tribal Issues, Urban Development, Volunteers, Women Development/Welfare, Women’S Issues."
Graham Bell Centre for the Deaf,"Tentarpar, Pandua",Hooghly,gbcdp@yahoo.co.in,NOT AVAILABLE,"97356 04219, 92334 51801",,"Child Rights, Disability, Education, Employment, Livelihood, Mentally Handicapped Persons, Poverty, Rehabilitation, Self Help Groups, Training."
Gopal Chandra Baidya Foundation,"Chandpara, Dhakuria",North 24 Parganas,gcb.foundation2016@gmail.com,NOT AVAILABLE,86704 19875,,"Adolescent Girls Welfare, Advocacy On Social Issues, Animal Welfare, Anti Drug Campaign, Art and Craft, Art and Culture, Child Labour, Child Welfare, Community Development, Cow Protection Centre (Goushala), Cultural Issues, Distance Learning, E-Learning, Education, Employment, Environment, General – Social Welfare, Information and Communications Technology."
Global Lifelink Library,"11, Old Post Office Street",Kolkata,mail2glll@rediffmail.com,"91-33-22484436, 91-33-22427330",91-98300 62362,NOT AVAILABLE,Library
Gramin Nabadiganta Welfare Society,"Phancybagan (Infront of Arambagh Police Station), Arambagh",Arambagh,ngo.arambagh@gmail.com,NOT AVAILABLE,90836 17519,03211-255538,"Education, Information and Communications Technology, Minorities, Orphanage, Rural Development, Training, Tribal Development, Women Development/Welfare."
Grameen Vikash Society,Barrackpore,Barrackpore,grameen_vikash@yahoo.in,NOT AVAILABLE,70593 81324,033-31909333,"Community Development, E-Governance, Economics and Finance, Education, General – Social Welfare, Group Promotion, Health, Hiv/Aids, Livelihood, Micro-Enterprises, Rural Development, Sanitation, Self Help Groups, Women Development/Welfare, Women’S Issues Financial Inclusion"
Graminbikashsanstha,"Selimbong, Pokhriabong, Sukhiapokhari",Darjeeling,maskeybimal7@gmail.com,NOT AVAILABLE,"98000 08506, 99333 85001",,"Awareness Generation, Community Development, Disaster Management, Employment, General – Social Welfare, Herbal Medicine, Medical Relief Flying Medical Camp, Day Care Center For Older Person."
Grace Welfare Society,"Sarada Devi Nagar, Bagpota, Kolagachhia Main Road, Sarsoona",Kolkata,gracews@rediffmail.com,,91-92316 23344,NOT AVAILABLE,Our purpose is to uplift women and children from downtroden society.
Gram Seva Sangha,"Sachin Kargupta Path, Hatthuba",North 24 Parganas,,91-3216-252167,,NOT AVAILABLE,Development
Gulab Patti Memorial Trust,"1-A, Khelat Ghosh Lane, 1st Floor",Kolkata,gulabpattimemorialtrust@yahoo.in,91-33-22489887,"91-98300 75552, 91-92318 36306",NOT AVAILABLE,"Help disabled persons, remove poverty & illiteracy, help orphans, open a nopany (free) school & college."
Gramin Vikas Sewa Sanstha,Kolkata,Kolkata,gvss2005@rediffmail.com,,91-98686 04554,NOT AVAILABLE,
Green Field Foundation,"Aravinda Pally, Burdwan",Burdwan,greenfeildfoundation@yahoo.com,91-342-2550872,91-98322 44492,NOT AVAILABLE,Generating Employement
Guriahati Organization Of Activism And Liberating Society (GOALS),Kalighat Road,Coochbehar,goalsngo@gmail.com,NOT AVAILABLE,91266 88609,,Social Work.
Gramin Seba Sangha,"2 A, Gour Sundar Seth Lane, Dum Dum",Kolkata,graminsebasangha@gmail.com,,"91-97482 73632, 91-99034 68163",NOT AVAILABLE,All- round rural development in India.
Guskara Srijani Welfare Society,"Guskara, Ausgram",Guskara,srijaniguskara@gmail.com,NOT AVAILABLE,94757 49351,,Social Work.
GVF – Guma Vivekananda Foundation,"Ghosh Para, Guma, Ashoke Nagar",North 24 Pargana,mail@gvfindia.in,91-3216-227664,91-93782 95511,NOT AVAILABLE,"Education, micro-finance, students, childes."
Greentech System,"Khairu Place, Kolkata",Kolkata,greentech_system@rediff.com,91-33-22113539,91-93395 16762,NOT AVAILABLE,
Habibpur Rural Development Samiti,"Kachupukur, Hospital Road",Malda,hrdsorg.malda09@gmail.com,91-3511-251180,91-94343 23617,NOT AVAILABLE,Voluntary organization.
Gushkara Nagarik Suraksha Samiti,"Gushkara, Burdwan",Burdwan,infa@gushkaranss.org,,91-94740 54145,NOT AVAILABLE,
Habra Spandan Welfare Society,"Banbania, Habra",North 24 Parganas,habraspandan@yahoo.com,,91-92327 51344,NOT AVAILABLE,To help our society.
Habibpur Sachetanata,"D-I, Monoranjan, Abasan",Paschim Midnapur,sumonsnh@gmail.com,NOT AVAILABLE,"85130 59801, 78659 79433",,"Herbal Medicine, Human Development, Indigenous Knowledge, Industry, Infrastructure, Livelihood, Local Administration, Mentally Handicapped Persons."
